Orthogroup	Bacillus_subtilis_aa	Rhodococcus_erythropolis_aa
OG0000423	CAB13141.2	ALU70511.1, ALU72183.1
OG0000424	CAB16086.2, CAB13145.2	ALU70668.1, ALU72862.1
OG0000425	CAB13160.2	ALU68628.1
OG0000426	CAB13230.1	ALU70079.1, ALU72282.1, ALU67671.1
OG0000427	CAB15796.1, CAB13231.1	ALU69995.1
OG0000428	CAB13263.1, CAB15479.1	ALU71277.1, ALU70193.1
OG0000429	CAB13264.2	ALU70194.1, ALU71273.1
OG0000430	CAB13269.1	ALU70721.1, ALU70201.1
OG0000431	CAB13295.1	ALU71259.1, ALU70475.1
OG0000432	CAB13301.1	ALU71628.1, ALU69795.1
OG0000433	CAB13326.1, CAB13551.2	ALU71313.1
OG0000434	CAB13331.1	ALU70173.1, ALU68258.1
OG0000435	CAB14337.2, CAB13334.1	ALU69598.1
OG0000436	CAB13381.1	ALU71538.1, ALU69784.1
