Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000133	ALU70588.1, ALU69425.1	UDL01504.1
OG0000134	ALU67888.1, ALU68953.1, ALU70879.1, ALU70004.1	UDL01265.1
OG0000135	ALU72454.1, ALU70794.1, ALU70515.1, ALU68806.1, ALU69827.1	UDK99269.1
OG0000137	ALU69098.1, ALU72630.1, ALU71257.1, ALU70074.1, ALU68193.1	UDL00808.1
OG0000138	ALU69465.1, ALU72645.1, ALU72359.1, ALU69272.1, ALU68632.1	UDL01540.1
OG0000139	ALU72845.1, ALU69229.1, ALU69107.1, ALU72846.1	UDK99365.1
OG0000140	ALU69658.1, ALU68158.1, ALU68543.1	UDL02243.1, UDK99827.1, UDL01414.1
OG0000141	ALU72543.1, ALU72554.1, ALU73213.1, ALU73214.1	UDL01813.1
OG0000142	ALU72189.1, ALU73060.1, ALU72035.1, ALU69583.1, ALU68586.1	UDL01338.1
OG0000143	ALU71823.1, ALU72944.1, ALU68947.1, ALU72671.1, ALU72041.1	UDL01847.1
OG0000145	ALU72515.1, ALU69699.1, ALU70769.1, ALU72313.1	UDK99477.1, UDL01156.1, UDL00178.1
OG0000146	ALU70500.1, ALU69442.1, ALU72279.1, ALU67710.1, ALU68763.1, ALU71675.1	UDK99978.1
OG0000147	ALU73399.1, ALU73453.1, ALU73031.1, ALU72104.1, ALU70326.1, ALU71435.1	UDL00138.1
OG0000148	ALU69070.1, ALU69477.1, ALU73075.1, ALU69426.1, ALU69124.1, ALU68574.1	UDL00217.1
OG0000149	ALU73443.1, ALU73423.1, ALU73560.1, ALU73409.1, ALU73481.1, ALU73743.1	UDL02156.1
OG0000156	ALU67672.1	UDL00170.1
OG0000157	ALU68995.1, ALU71694.1	UDK99614.1
OG0000158	ALU68053.1	UDL01120.1
OG0000159	ALU70319.1	UDL00490.1
OG0000160	ALU71427.1	UDL01791.1
OG0000162	ALU71325.1	UDL00597.1
OG0000164	ALU67716.1, ALU68366.1	UDL00004.1
OG0000165	ALU70775.1	UDL00854.1, UDL00754.1
OG0000166	ALU68387.1	UDL02108.1
OG0000168	ALU72325.1, ALU68858.1, ALU72407.1	UDL01897.1
OG0000169	ALU69292.1	UDL01017.1
OG0000172	ALU69419.1, ALU69567.1, ALU70311.1	UDK99455.1, UDL02013.1
OG0000175	ALU69344.1	UDL01731.1, UDL00113.1
OG0000176	ALU70210.1, ALU70298.1, ALU73396.1, ALU71436.1	UDL01547.1
OG0000177	ALU73115.1, ALU72840.1, ALU72864.1, ALU71185.1	UDL00707.1
OG0000178	ALU68154.1, ALU73513.1	UDL00659.1
OG0000179	ALU71432.1, ALU72415.1	UDL01026.1
OG0000181	ALU72651.1, ALU71609.1, ALU69638.1	UDL01610.1
OG0000182	ALU70469.1	UDL00997.1
OG0000183	ALU72045.1, ALU71789.1, ALU71723.1	UDK99323.1
OG0000184	ALU72257.1, ALU69922.1, ALU69986.1	UDL00333.1, UDK99634.1
OG0000185	ALU70615.1, ALU71918.1, ALU68777.1, ALU69916.1	UDK99747.1
OG0000186	ALU71803.1	UDL01949.1
OG0000187	ALU73383.1, ALU70553.1	UDL00017.1
OG0000188	ALU72766.1, ALU71597.1	UDL00648.1
OG0000189	ALU70304.1	UDL00127.1, UDL00126.1, UDL00796.1
OG0000190	ALU71638.1	UDL01199.1, UDK99656.1
OG0000191	ALU73333.1	UDL02260.1
OG0000192	ALU69711.1, ALU71736.1, ALU68743.1	UDL01648.1, UDL00459.1
OG0000193	ALU67750.1, ALU73518.1	UDL01482.1
OG0000193	ALU69622.1	UDK99644.1
OG0000194	ALU72341.1, ALU68896.1, ALU68924.1	UDL00631.1, UDL01527.1
OG0000195	ALU68956.1	UDL01334.1, UDL00621.1, UDL01834.1
OG0000196	ALU67695.1, ALU71034.1, ALU69861.1, ALU67961.1	UDK99352.1
OG0000197	ALU68890.1	UDL01578.1
OG0000197	ALU70886.1	UDL02152.1
OG0000198	ALU70046.1, ALU70047.1, ALU69288.1	UDL01908.1
OG0000199	ALU69502.1, ALU68301.1, ALU71822.1	UDK99792.1, UDL02083.1
OG0000200	ALU71579.1, ALU70959.1, ALU71173.1, ALU71768.1	UDK99618.1
OG0000203	ALU67692.1, ALU67920.1, ALU67803.1, ALU73584.1, ALU73586.1	UDL01272.1
OG0000204	ALU67810.1, ALU71954.1, ALU71209.1, ALU72854.1, ALU70952.1	UDL01903.1
OG0000205	ALU69159.1, ALU71339.1, ALU71500.1, ALU72683.1, ALU68512.1	UDL02248.1
OG0000220	ALU68929.1	UDL01622.1
OG0000221	ALU71131.1	UDK99249.1
OG0000221	ALU68351.1	UDL01518.1
OG0000222	ALU70236.1	UDK99443.1
OG0000223	ALU72839.1	UDL01512.1, UDL01667.1
OG0000229	ALU70103.1, ALU67655.1	UDL01253.1, UDL01249.1
OG0000232	ALU68290.1, ALU72463.1, ALU71633.1	UDL01428.1
OG0000235	ALU72249.1	UDL01270.1
OG0000236	ALU73573.1, ALU69750.1, ALU67666.1	UDL01783.1
OG0000237	ALU68942.1, ALU68822.1, ALU69101.1	UDL00290.1
OG0000238	ALU71612.1	UDL00166.1, UDK99220.1, UDK99523.1
OG0000239	ALU70709.1	UDL00360.1
OG0000240	ALU70080.1, ALU71714.1	UDL00710.1
OG0000241	ALU68197.1, ALU70271.1	UDL01039.1
OG0000243	ALU70630.1, ALU72125.1	UDL00415.1
OG0000244	ALU72083.1, ALU68502.1, ALU72043.1	UDL00363.1
OG0000245	ALU71825.1	UDL00171.1, UDL00678.1
OG0000246	ALU70453.1	UDL01714.1
OG0000247	ALU68922.1	UDL00007.1
OG0000247	ALU70381.1	UDL01040.1
OG0000249	ALU67923.1	UDL02245.1
OG0000250	ALU68509.1, ALU69840.1, ALU68111.1	UDL02247.1
OG0000251	ALU71659.1, ALU68931.1	UDL01042.1
OG0000252	ALU70038.1, ALU69238.1	UDL01418.1, UDL02105.1
OG0000254	ALU72656.1, ALU67800.1	UDL01361.1
OG0000255	ALU70608.1	UDL00858.1
OG0000256	ALU71425.1	UDL00136.1
OG0000257	ALU68335.1, ALU71264.1	UDL01898.1
OG0000258	ALU71819.1, ALU69588.1, ALU71296.1	UDL00161.1
OG0000259	ALU68023.1, ALU68024.1, ALU71591.1	UDL01576.1
OG0000260	ALU72758.1	UDL01165.1, UDL01382.1
OG0000261	ALU72738.1	UDL00999.1, UDL00998.1
OG0000262	ALU71717.1	UDK99475.1, UDL00504.1, UDL01963.1
OG0000263	ALU69915.1	UDL00071.1
OG0000264	ALU71046.1	UDL00014.1, UDL01608.1
OG0000265	ALU69453.1, ALU73665.1	UDL00923.1
OG0000266	ALU69206.1, ALU70873.1	UDL01365.1
OG0000268	ALU73572.1	UDL01957.1
OG0000269	ALU71272.1, ALU68328.1, ALU68336.1	UDL01302.1
OG0000270	ALU73323.1, ALU69021.1, ALU68753.1	UDL00995.1
OG0000271	ALU70833.1, ALU71498.1	UDL02287.1
OG0000273	ALU71391.1	UDL01521.1
OG0000274	ALU67828.1	UDL00479.1
OG0000279	ALU71200.1	UDK99584.1
OG0000280	ALU72752.1	UDL00705.1, UDK99225.1, UDK99241.1
OG0000281	ALU69482.1, ALU68283.1	UDL01789.1
OG0000282	ALU68284.1, ALU69481.1	UDL01790.1
OG0000283	ALU72056.1, ALU68516.1, ALU72066.1	UDL02095.1
OG0000284	ALU68036.1, ALU70484.1, ALU70372.1	UDL00232.1
OG0000285	ALU71867.1, ALU73567.1	UDL01551.1
OG0000286	ALU67928.1, ALU69099.1, ALU70691.1	UDL01472.1
OG0000287	ALU68198.1	UDK99436.1, UDL01772.1, UDL00953.1
OG0000288	ALU69450.1, ALU68217.1	UDL01754.1
OG0000289	ALU72870.1, ALU69228.1	UDL01500.1
OG0000290	ALU71996.1	UDL00379.1
OG0000291	ALU71890.1, ALU73447.1, ALU70762.1	UDL00026.1
OG0000292	ALU67932.1, ALU70178.1, ALU68696.1	UDL01045.1
OG0000293	ALU69920.1	UDL00297.1, UDL01394.1, UDL01739.1
OG0000295	ALU68014.1, ALU73676.1	UDL01729.1, UDK99372.1
OG0000296	ALU70636.1	UDK99461.1
OG0000296	ALU71606.1	UDK99591.1
